Frame,Detected,Ground_Truth,Confidence,FPS
1,0,0,,0.626857195
2,0,0,,5.146802072
3,0,0,,18.92189981
4,0,0,,19.09035629
5,0,0,,20.04590054
6,0,0,,19.23595588
7,0,0,,18.74021616
8,0,0,,18.29775984
9,0,0,,19.67125035
10,0,0,,19.51774106
11,0,0,,18.53000636
12,0,0,,18.48044801
13,0,0,,19.64158807
14,0,0,,19.65852698
15,0,0,,20.34114783
16,0,0,,20.10142962
17,0,0,,18.87820972
18,0,0,,19.13520961
19,0,0,,21.5832986
20,0,0,,19.37528698
21,0,0,,20.57806735
22,0,0,,21.53266115
23,0,0,,20.53464542
24,0,0,,20.56011216
25,0,0,,20.25343448
26,0,0,,19.33981943
27,0,0,,19.8798197
28,0,0,,20.25108756
29,0,0,,21.11191423
30,0,0,,20.68074867
31,0,0,,20.79393975
32,0,0,,21.03968859
33,0,0,,20.72642997
34,0,0,,21.50065102
35,0,0,,21.17736398
36,0,0,,20.70535269
37,0,0,,19.3945492
38,0,0,,19.67549514
39,0,0,,18.99542585
40,0,0,,19.08783682
41,0,0,,19.12465232
42,0,0,,20.17976685
43,0,0,,21.1588819
44,0,0,,20.60779246
45,0,0,,20.3279375
46,0,0,,20.53534918
47,0,0,,20.60070727
48,0,0,,20.85784475
49,0,0,,20.51154852
50,0,0,,21.93352438
51,0,0,,20.22004213
52,0,0,,20.39664068
53,0,0,,21.23225206
54,0,0,,20.40289142
55,0,0,,21.62625487
56,0,0,,21.79425305
57,0,0,,21.85580591
58,0,0,,21.06981067
59,0,0,,22.12512396
60,0,0,,20.06248864
61,0,0,,19.67309568
62,0,0,,20.79816728
63,0,0,,20.37909958
64,0,0,,20.39267395
65,0,0,,19.58582302
66,0,0,,20.21750804
67,0,0,,22.45152449
68,0,0,,20.75648284
69,0,0,,20.42494838
70,0,0,,20.1417794
71,0,0,,20.32567178
72,0,0,,21.91438648
73,0,0,,20.27771788
74,0,0,,20.23828687
75,0,0,,20.9280942
76,0,0,,20.25274991
77,0,0,,20.69615762
78,0,0,,20.18792567
79,0,0,,21.19855654
80,0,0,,19.95026589
81,0,0,,20.02790524
82,0,0,,21.50340677
83,0,0,,21.23999352
84,0,0,,19.96156464
85,0,0,,20.14274669
86,0,0,,21.54161895
87,0,0,,21.0614524
88,1,1,0.331558168,20.38226861
89,1,1,0.67004168,19.32912431
90,1,1,0.820315778,21.57508295
91,1,1,0.875602782,21.2047725
92,1,1,0.873424411,21.46554962
93,1,1,0.876462638,20.24571125
94,1,1,0.854641855,21.87198982
95,1,1,0.895508587,20.33109064
96,1,1,0.894103825,21.24935532
97,1,1,0.891810417,21.99979019
98,1,1,0.86093086,20.83132518
99,1,1,0.868472695,20.9009792
100,1,1,0.858640432,20.27183753
101,1,1,0.880666137,21.41524385
102,1,1,0.876145542,12.15384482
103,1,1,0.86394316,16.86226929
104,1,1,0.85236609,19.70294583
105,1,1,0.85881871,20.64979618
106,1,1,0.847744584,21.3766067
107,1,1,0.881692529,22.32758593
108,1,1,0.900525451,19.4175347
109,1,1,0.901112258,20.6259325
110,1,1,0.874165714,22.00556133
111,1,1,0.870605409,20.94994156
112,1,1,0.860834479,20.52961993
113,1,1,0.871445537,22.0300646
114,1,1,0.88158828,20.54842787
115,1,1,0.88103801,22.35769723
116,1,1,0.866940856,20.76480635
117,1,1,0.867958784,20.99051642
118,1,1,0.868971646,22.03573586
119,1,1,0.841742396,20.35546194
120,1,1,0.842296362,20.56938846
121,1,1,0.860806346,20.65233811
122,1,1,0.846693993,21.18378149
123,1,1,0.835616112,21.07023405
124,1,1,0.849438369,20.22247936
125,1,1,0.804633915,21.13542522
126,1,1,0.852320671,22.25260232
127,1,1,0.800791979,21.06356779
128,1,1,0.836392939,21.81023249
129,1,1,0.824480355,20.57170884
130,1,1,0.806963921,21.56709534
131,1,1,0.824469507,22.28381379
132,1,1,0.838790596,23.20538653
133,1,1,0.84550041,21.99125447
134,1,1,0.846841633,21.24494241
135,1,1,0.844020486,22.90555012
136,1,1,0.829476178,21.52470492
137,1,1,0.783259332,21.49437056
138,1,1,0.766948402,20.88474389
139,1,1,0.819099367,21.4747815
140,1,1,0.819397628,21.64768546
141,1,1,0.809096336,20.68972593
142,1,1,0.814886332,20.92506635
143,1,1,0.798743606,22.08911897
144,1,1,0.781247556,20.58089462
145,1,1,0.844831049,20.4935089
146,1,1,0.82354176,22.02370238
147,1,1,0.875448585,20.47180328
148,1,1,0.900179863,21.41152688
149,1,1,0.885262907,21.45138754
150,1,1,0.885442019,20.55779439
151,1,1,0.884681463,22.04870971
152,1,1,0.888983727,21.99160038
153,1,1,0.893750489,14.11102289
154,1,1,0.828001559,18.76898018
155,1,1,0.843306601,20.21146776
156,1,1,0.872220993,20.71926297
157,1,1,0.757456779,21.42760661
158,1,1,0.563090801,21.39481644
159,1,1,0.507688999,21.17982356
160,1,1,0.614182949,20.78445986
161,1,1,0.707686067,21.40224008
162,1,1,0.693030953,20.95643137
163,1,1,0.71464783,20.88495187
164,1,1,0.795516014,20.38038688
165,1,1,0.78235966,22.00556133
166,1,1,0.773333073,22.02000241
167,1,1,0.848656058,21.72212814
168,1,1,0.852042139,22.54917288
169,1,1,0.857525885,20.7524776
170,1,1,0.835921526,20.76521756
171,1,1,0.711040556,21.65070254
172,1,1,0.811457872,21.50781743
173,1,1,0.813642383,20.67972902
174,1,1,0.765633166,20.7328845
175,1,1,0.658674538,22.56203033
176,1,1,0.647497237,22.06123469
177,1,1,0.747683227,20.82636027
178,1,1,0.736268222,20.22628262
179,1,1,0.686945558,22.14509955
180,1,1,0.681810319,22.18504179
181,1,1,0.746255815,20.07506785
182,1,1,0.763018668,20.8804811
183,1,1,0.703343868,20.97372224
184,1,1,0.74473685,21.0391609
185,1,1,0.799844801,21.03852771
186,1,1,0.84375304,22.65073202
187,1,1,0.829713643,21.39252489
188,1,1,0.818116486,20.63415162
189,1,1,0.792750478,22.26807889
190,1,1,0.779543459,22.42056085
191,1,1,0.791205704,23.12287201
192,1,1,0.7053442,21.4828109
193,1,1,0.694661736,22.27623934
