Frame,Detected,Ground_Truth,Confidence,FPS,,,,
1,0,0,,0.646016482,,,,
2,0,0,,4.94833062,,,,
3,0,0,,19.07316763,,,,
4,0,0,,18.7097039,,,,
5,0,0,,19.55787667,,,,
6,0,0,,19.80285454,,,,
7,0,0,,19.71257631,,,,
8,0,0,,19.08132404,,,,
9,0,0,,18.00308185,,,,
10,0,0,,18.83844309,,,,
11,0,0,,21.13095304,,,,
12,0,0,,19.47261543,,,,
13,0,0,,19.73985194,,,,
14,0,0,,20.32114185,,,,
15,0,0,,19.02566964,,,,
16,0,0,,19.54402445,,,,
17,0,0,,19.21436621,,,,
18,0,0,,19.69979945,,,,
19,0,0,,20.59676192,,,,
20,0,0,,21.55656518,,,,
21,0,0,,19.30865834,,,,
22,0,0,,21.16229812,,,,
23,0,0,,22.36807048,,,,
24,0,0,,21.5029658,,,,
25,0,0,,19.29471297,,,,
26,0,0,,18.688446,,,,
27,0,0,,19.77717632,,,,
28,0,0,,19.30492576,,,,
29,0,0,,18.90654694,,,,
30,0,0,,21.45577688,,,,
31,0,0,,20.5431944,,,,
32,0,0,,21.09089446,,,,
33,0,0,,20.39247565,,,,
34,0,0,,19.75779844,,,,
35,0,0,,22.71734821,,,,
36,0,0,,19.55131265,,,,
37,0,0,,20.34272633,,,,
38,0,0,,21.25204702,,,,
39,0,0,,21.55434961,,,,
40,0,0,,22.79674107,,,,
41,0,0,,21.69000129,,,,
42,0,0,,21.21678605,,,,
43,0,0,,20.94523373,,,,
44,0,0,,21.24860177,,,,
45,0,0,,21.5081483,,,,
46,0,0,,22.69546773,,,,
47,0,0,,23.02538428,,,,
48,0,0,,22.34900066,,,,
49,0,0,,22.21041706,,,,
50,0,0,,21.0989577,,,,
51,0,0,,22.35305027,,,,
52,0,0,,21.38390868,,,,
53,0,0,,20.99881846,,,,
54,0,0,,22.26417819,,,,
55,0,0,,21.08485107,,,,
56,0,0,,20.86905295,,,,
57,0,0,,21.2969372,,,,
58,0,0,,21.14149764,,,,
59,0,0,,21.42870134,,,,
60,0,0,,20.920161,,,,
61,0,0,,21.80048338,,,,
62,0,0,,21.45040018,,,,
63,0,0,,20.39832701,,,,
64,0,0,,22.4838995,,,,
65,0,0,,22.35078707,,,,
66,0,0,,23.31179066,,,,
67,0,0,,20.98327063,,,,
68,0,0,,21.02671513,,,,
69,0,0,,21.32812627,,,,
70,0,0,,21.29077517,,,,
71,0,0,,22.11940661,,,,
72,0,0,,21.11584681,,,,
73,0,0,,22.56482209,,,,
74,0,0,,21.60108358,,,,
75,0,0,,21.74431288,,,,
76,0,0,,21.01775907,,,,
77,0,0,,20.84447294,,,,
78,0,0,,22.25484568,,,,
79,0,0,,20.9029583,,,,
80,0,0,,22.51117158,,,,
81,0,0,,20.4654104,,,,
82,0,0,,20.53374065,,,,
83,0,0,,21.1576011,,,,
84,0,0,,21.32335536,,,,
85,0,0,,21.31187057,,,,
86,0,0,,19.353205,,,,
87,0,0,,16.98648955,,,,
88,0,0,,18.44063504,,,,
89,0,0,,21.05521448,,,,
90,0,0,,20.71097592,,,,
91,1,1,0.606707454,20.42693784,,,,
92,1,1,0.772373199,20.65193136,,,,
93,1,1,0.806439281,20.48980469,,,,
94,1,1,0.828059733,21.12499307,,,,
95,1,1,0.701053321,21.88888309,,,,
96,1,1,0.729793727,21.22290531,,,,
97,1,1,0.742227793,20.72028653,,,,
98,1,1,0.755694747,21.74656767,,,,
99,1,1,0.808716297,21.9087775,,,,
100,1,1,0.808655024,22.51310485,,,,
101,1,1,0.78030628,21.05415757,,,,
102,1,1,0.829093337,20.36188516,,,,
103,1,1,0.849664807,21.12541868,,,,
104,1,1,0.837014675,22.13808647,,,,
105,1,1,0.808276415,20.4365922,,,,
106,1,1,0.833745003,20.85203782,,,,
107,1,1,0.834156096,21.62926598,,,,
108,1,1,0.818966568,21.85398387,,,,
109,1,1,0.775411844,20.67921924,,,,
110,1,1,0.831888318,20.4768005,,,,
111,1,1,0.807186782,20.71189638,,,,
112,1,1,0.828912616,22.48787759,,,,
113,1,1,0.810213566,22.88305609,,,,
114,1,1,0.816424549,20.68401223,,,,
115,1,1,0.812681258,15.9960947,,,,
116,1,1,0.822224081,16.012522,,,,
117,1,1,0.787127376,20.90358335,,,,
118,1,1,0.757417679,21.46818649,,,,
119,1,1,0.700798512,20.93028733,,,,
120,1,1,0.803323746,20.83794875,,,,
121,1,1,0.844029367,21.74927404,,,,
122,1,1,0.740149975,20.52027906,,,,
123,1,1,0.736573994,20.75935935,,,,
124,1,1,0.783330739,21.83998709,,,,
125,1,1,0.778909266,21.50021017,,,,
126,1,1,0.786121547,21.09121263,,,,
127,1,1,0.791901052,22.52422763,,,,
128,1,1,0.759272516,21.55468192,,,,
129,1,1,0.806885123,20.93060068,,,,
130,1,1,0.74662447,21.26907435,,,,
131,1,1,0.631019413,22.12360683,,,,
132,1,1,0.320209324,21.04887461,,,,
133,1,1,0.66743964,22.31131443,,,,
134,1,1,0.281062454,21.47940042,,,,
135,0,1,,21.91873827,,,,
136,0,1,,21.01438935,,,,
137,0,1,,21.60074984,,,,
138,1,1,0.25530076,22.6015433,,,,
139,0,1,,22.46078216,,,,
140,1,1,0.315530181,21.12116344,,,,
141,1,1,0.663565278,22.92470485,,,,
142,1,1,0.541489482,22.71931706,,,,
