Frame,Detected,Ground_Truth,Confidence,FPS
1,0,0,,0.636940961
2,0,0,,5.028628977
3,0,0,,20.2083516
4,0,0,,19.63726596
5,0,0,,18.05756994
6,0,0,,21.06166392
7,0,0,,19.12840275
8,0,0,,19.61641785
9,0,0,,19.73381512
10,0,0,,21.04222187
11,0,0,,18.51634521
12,0,0,,20.38434883
13,0,0,,19.61375763
14,0,0,,19.86042834
15,0,0,,19.82831831
16,0,0,,19.949317
17,0,0,,19.50276664
18,0,0,,19.22237957
19,0,0,,19.41582687
20,0,0,,21.33138039
21,0,0,,21.66792718
22,0,0,,21.43779198
23,0,0,,19.92174371
24,0,0,,20.39475629
25,0,0,,20.46471142
26,0,0,,17.92307396
27,0,0,,18.2546765
28,0,0,,19.55067472
29,0,0,,18.76948412
30,0,0,,19.23348603
31,0,0,,17.6923343
32,0,0,,19.01669848
33,0,0,,19.07056598
34,0,0,,19.13486042
35,0,0,,18.8873058
36,0,0,,19.79892846
37,0,0,,20.56565676
38,0,0,,19.8182935
39,0,0,,16.54923376
40,0,0,,19.105226
41,0,0,,16.79952577
42,0,0,,18.92104622
43,0,0,,18.78772839
44,0,0,,19.41762459
45,0,0,,19.38943875
46,0,0,,19.94428938
47,0,0,,20.80322193
48,0,0,,20.67738421
49,0,0,,19.66617747
50,0,0,,22.73643583
51,0,0,,20.96114423
52,0,0,,22.68846996
53,0,0,,21.21034852
54,0,0,,20.81468138
55,0,0,,21.97535418
56,0,0,,20.75237492
57,0,0,,21.05944318
58,0,0,,20.8665612
59,0,0,,20.49030518
60,0,0,,20.21458487
61,0,0,,20.49040528
62,0,0,,20.53374065
63,0,0,,21.22065044
64,0,0,,22.32794251
65,0,0,,22.30467013
66,0,0,,14.07583756
67,0,0,,18.50409187
68,0,0,,20.94335119
69,0,0,,21.39820011
70,0,0,,23.00050999
71,0,0,,22.86783524
72,0,0,,20.79589864
73,0,0,,22.07702713
74,0,0,,22.04395859
75,0,0,,20.83794875
76,0,0,,20.73257705
77,0,0,,21.12371638
78,0,0,,20.80023011
79,0,0,,21.78508396
80,0,0,,22.38777035
81,0,0,,21.02987791
82,0,0,,21.4857822
83,0,0,,22.3544799
84,0,0,,22.52120405
85,0,0,,21.29974913
86,0,0,,22.66750254
87,0,0,,22.35900826
88,0,0,,20.15620164
89,0,0,,21.08994001
90,0,0,,20.94303747
91,0,0,,20.67952511
92,0,0,,19.00678829
93,1,1,0.488159835,21.0421163
94,0,1,,19.64204798
95,1,1,0.806187689,20.04283523
96,1,1,0.783593178,20.19035516
97,1,1,0.828664064,20.67453037
98,1,1,0.842117608,20.37563457
99,1,1,0.853716254,19.30021765
100,1,1,0.868997991,15.42369428
101,1,1,0.877649128,18.99947001
102,1,1,0.863817692,22.51793949
103,1,1,0.825736284,20.6906445
104,1,1,0.832089186,21.07340994
105,1,1,0.76413548,22.90067267
106,1,1,0.807615399,20.83556792
107,1,1,0.795234919,21.8759825
108,1,1,0.819575369,22.61385092
109,1,1,0.834296227,20.4303208
110,1,1,0.815486908,22.21747606
111,1,1,0.848987341,22.85462699
112,1,1,0.824461401,21.32422264
113,1,1,0.816119492,21.04644535
114,1,1,0.798329473,22.40678672
115,1,1,0.826441705,21.1468272
116,1,1,0.834144235,22.24811695
117,1,1,0.791507602,19.53856187
118,1,1,0.802694499,21.3702896
119,1,1,0.835085571,20.78662299
120,1,1,0.833617032,18.48321692
121,1,1,0.827093184,19.65511844
122,1,1,0.831335127,19.87388531
123,1,1,0.833848357,19.84567486
124,1,1,0.838359773,21.46664824
125,1,1,0.827556551,21.18174886
126,1,1,0.828330636,20.91202529
127,1,1,0.823669136,21.01691654
128,1,1,0.839482367,21.12158889
129,1,1,0.859484494,20.68554238
130,1,1,0.856086195,21.02650431
131,1,1,0.855922401,20.82439564
132,1,1,0.84866035,22.16569692
133,1,1,0.857349217,21.92767633
134,1,1,0.841676891,21.07732819
135,1,1,0.828748107,21.22462364
136,1,1,0.856190979,22.32639743
137,1,1,0.830216587,20.97697401
138,1,1,0.83995676,21.88294464
139,1,1,0.835943937,22.15457427
140,1,1,0.822538376,20.85722242
141,1,1,0.831254244,21.90122709
142,1,1,0.792937219,22.18914958
143,1,1,0.74829787,21.37475475
144,1,1,0.730571151,21.95533873
145,2,1,0.44460243,21.01091547
146,1,1,0.541789472,22.58353255
147,1,1,0.713967919,21.00407632
148,1,1,0.532327414,22.22972228
149,1,1,0.764463723,21.15461318
150,1,1,0.803308249,19.34874109
151,1,1,0.751437604,21.84430938
152,1,1,0.705339491,20.66342828
153,1,1,0.550159931,21.74205856
154,1,1,0.704178631,21.21753735
155,1,1,0.750441015,20.69881314
156,1,1,0.797570944,20.87840233
157,1,1,0.788326085,20.56293449
158,1,1,0.804527879,20.7359595
159,1,1,0.83352977,22.32615974
160,1,1,0.827962279,22.04141004
161,1,1,0.822674334,21.2612039
162,1,1,0.807860196,21.15642717
163,1,1,0.755262196,21.22859833
164,1,1,0.718617558,22.77631522
165,1,1,0.594719112,21.04528372
166,1,1,0.593629062,21.12680199
167,1,1,0.707972467,21.34896979
168,1,1,0.704070747,22.10378646
169,1,1,0.7496171,22.97090782
170,2,1,0.441300645,22.36985995
171,1,1,0.690638661,22.12430702
172,1,1,0.50748378,20.86905295
173,1,1,0.358432025,21.27587134
174,1,1,0.449348271,21.13702289
175,1,1,0.269274443,20.53002188
176,1,1,0.483679026,22.15387216
177,1,1,0.592366457,22.50803072
178,1,1,0.72173059,22.60519763
179,1,1,0.746521413,20.54933393
180,1,1,0.747113228,20.71363524
181,1,1,0.700961173,20.66129072
182,1,1,0.663336158,20.13626762
183,1,1,0.623986185,20.90170829
184,1,1,0.629621744,21.19791372
185,1,1,0.595226765,20.89212991
186,1,1,0.498110771,21.52249589
187,1,1,0.343369126,20.93864633
188,1,1,0.294178933,21.311654
189,0,1,,21.24440437
190,1,1,0.284891605,20.7562774
191,0,1,,22.39829115
192,0,1,,23.05981703
193,0,1,,21.40213087
194,2,1,0.322140679,22.72510254
195,1,1,0.711618781,21.05299509
196,1,1,0.662968636,22.30336547
197,1,1,0.559986532,21.12648275
198,1,1,0.647861421,21.09206113
199,1,1,0.680742979,22.20077702
200,1,1,0.583678961,21.78044576
